,AtomicRadius,AtomicVolume,AtomicWeight,BulkModulus,BoilingT,Column,CovalentRadius,Density,ElectronAffinity,Electronegativity,FirstIonizationEnergy,HeatCapacityMass,Row,phi,SecondIonizationEnergy,ShearModulus
V,1.35,13.8448982209802,50.9415,160.0,3680.0,5.0,153.0,6110.0,50.6,1.63,6.74619,0.489,4.0,4.25,14.618,47.0
Cr,1.4,12.0929374738936,51.9961,160.0,2944.0,6.0,139.0,7140.0,64.3,1.66,6.76651,0.449,4.0,4.65,16.4857,115.0
Mn,1.4,12.2127044655985,54.938045,120.0,2334.0,7.0,139.0,7470.0,0.0,1.55,7.43402,0.479,4.0,4.45,15.64,78.0
Fe,1.4,11.7773649695423,55.845,170.0,3134.0,8.0,132.0,7874.0,15.7,1.83,7.9024,0.449,4.0,4.93,16.1877,82.0
Co,1.35,10.9958606831132,58.933195,180.0,3200.0,9.0,126.0,8900.0,63.7,1.88,7.88101,0.421,4.0,5.1,17.084,75.0
Ni,1.35,10.9412844417051,58.6934,180.0,3186.0,10.0,124.0,8908.0,112.0,1.91,7.6398,0.444,4.0,5.2,18.16884,76.0
Cu,1.35,11.8299419318999,63.546,140.0,3200.0,11.0,132.0,8920.0,118.4,1.9,7.72638,0.385,4.0,4.45,20.2924,48.0
Zn,1.35,15.2056837348025,65.38,70.0,1180.0,12.0,122.0,7140.0,0.0,1.65,9.394199,0.388,4.0,4.1,17.96439,43.0
Ga,1.3,19.6105134830824,69.723,,2477.0,13.0,122.0,5904.0,28.9,1.81,5.999301,0.373,4.0,4.1,20.51515,
Ge,1.25,22.6609763823586,72.64,,3093.0,14.0,120.0,5323.0,119.0,2.01,7.89943,0.32,4.0,4.55,15.93461,
As,1.15,21.723965737178,74.9216,22.0,887.0,15.0,119.0,5727.0,78.0,2.18,9.7886,0.329,4.0,4.8,18.5892,
Se,1.15,27.2088046258276,78.96,8.3,958.0,16.0,120.0,4819.0,195.0,2.55,9.75239,0.321,4.0,,21.19,3.7
Br,1.15,42.5278253242385,79.904,1.9,332.0,17.0,120.0,3120.0,324.6,2.96,11.8138,0.474,4.0,,21.591,
Kr,,37107.4947415034,83.798,,119.78,18.0,116.0,3.75,0.0,3.0,13.99961,0.248,4.0,,24.35984,
Rb,2.35,92.6409518449757,85.4678,2.5,961.0,1.0,220.0,1532.0,46.9,0.82,4.177128,0.363,5.0,2.1,27.2895,
Sr,2.0,55.3231307765064,87.62,,1655.0,2.0,195.0,2630.0,5.03,0.95,5.69485,0.306,5.0,2.4,11.0301,6.1
Y,1.8,33.0132128825196,88.90585,41.0,3618.0,3.0,190.0,4472.0,29.6,1.22,6.2173,0.298,5.0,3.2,12.224,26.0
Zr,1.55,23.2659432691915,91.224,,4682.0,4.0,175.0,6511.0,41.1,1.33,6.6339,0.278,5.0,3.45,13.1,33.0
Nb,1.45,18.0021329803168,92.90638,170.0,5017.0,5.0,164.0,8570.0,86.1,1.6,6.75885,0.265,5.0,4.05,14.0,38.0
Mo,1.45,15.5008806878023,95.96,230.0,4912.0,6.0,154.0,10280.0,71.9,2.16,7.09243,0.251,5.0,4.65,16.16,20.0
Tc,1.35,14.1510115085267,98.0,,4538.0,7.0,147.0,11500.0,53.0,1.9,7.28,,5.0,5.3,15.26,
Ru,1.3,13.5678744093001,101.07,220.0,4423.0,8.0,146.0,12370.0,101.3,2.2,7.3605,0.238,5.0,5.4,16.76,173.0
Rh,1.35,13.7255098107475,102.9055,380.0,3968.0,9.0,142.0,12450.0,109.7,2.28,7.4589,0.243,5.0,5.4,18.08,150.0
Pd,1.4,14.6983862685637,106.42,180.0,3236.0,10.0,139.0,12023.0,53.7,2.2,8.3369,0.244,5.0,5.45,19.43,44.0
Ag,1.6,17.0756479498908,107.8682,100.0,2435.0,11.0,145.0,10490.0,125.6,1.93,7.57623,0.235,5.0,4.35,21.47746,30.0
Cd,1.55,21.580025455795,112.411,42.0,1040.0,12.0,144.0,8650.0,0.0,1.69,8.99382,0.231,5.0,4.05,16.90831,19.0
In,1.55,26.0826581603887,114.818,,2345.0,13.0,142.0,7310.0,28.9,1.78,5.78636,0.233,5.0,3.9,18.8703,
Sn,1.45,26.9667852620646,118.71,58.0,2875.0,14.0,139.0,7310.0,107.3,1.96,7.34392,0.227,5.0,4.15,14.6322,18.0
Sb,1.45,30.1914234437891,121.76,42.0,1860.0,15.0,139.0,6697.0,103.2,2.05,8.60839,0.207,5.0,4.4,16.63,20.0
Te,1.4,33.9566887225472,127.6,65.0,1261.0,16.0,138.0,6240.0,190.2,2.1,9.0096,0.202,5.0,,18.6,16.0
I,1.4,42.6588574686339,126.90447,7.7,457.3,17.0,139.0,4940.0,295.2,2.66,10.45126,0.214,5.0,,19.1313,
Xe,,36952.9240243401,131.293,,165.0,18.0,140.0,5.9,0.0,2.6,12.12984,0.158,5.0,,20.975,
Cs,2.6,117.456015807924,132.9054519,1.6,944.0,1.0,244.0,1879.0,45.5,0.79,3.893905,0.242,6.0,1.95,23.15744,
Ba,2.15,64.9692816746952,137.327,9.6,2143.0,2.0,215.0,3510.0,13.95,0.89,5.211664,0.204,6.0,2.32,10.00383,4.9
La,1.95,37.5306461188031,138.90547,28.0,3737.0,3.0,207.0,6146.0,48.0,1.1,5.5769,0.195,6.0,3.17,11.059,14.0
Ce,1.85,34.7845014783339,140.116,22.0,3633.0,3.0,204.0,6689.0,50.0,1.12,5.5387,0.192,6.0,3.18,10.85,14.0
Pr,1.85,35.2391757331551,140.90765,29.0,3563.0,3.0,203.0,6640.0,50.0,1.13,5.473,0.193,6.0,3.19,10.55,15.0
Nd,1.85,34.1690548824543,144.242,32.0,3373.0,3.0,201.0,7010.0,50.0,1.14,5.525,0.19,6.0,3.19,10.72,16.0
Pm,1.85,33.1475485627589,145.0,33.0,3273.0,3.0,199.0,7264.0,50.0,1.155,5.582,,6.0,3.19,10.9,18.0
Sm,1.85,33.9568190130002,150.36,38.0,2076.0,3.0,198.0,7353.0,50.0,1.17,5.6437,0.196,6.0,3.2,11.07,20.0
Eu,1.85,48.1212923577191,151.964,8.3,1800.0,3.0,198.0,5244.0,50.0,1.185,5.67038,0.182,6.0,2.5,11.25,7.9
Gd,1.8,33.0497243138068,157.25,38.0,3523.0,3.0,196.0,7901.0,50.0,1.2,6.1498,0.235,6.0,3.2,12.09,22.0
Tb,1.75,32.109492755383,158.92535,38.7,3503.0,3.0,194.0,8219.0,50.0,1.21,5.8638,0.182,6.0,3.21,11.52,22.0
Dy,1.75,31.5569998455358,162.5,41.0,2840.0,3.0,192.0,8551.0,50.0,1.22,5.9389,0.173,6.0,3.21,11.67,25.0
Ho,1.75,31.1403799107649,164.93032,40.0,2973.0,3.0,192.0,8795.0,50.0,1.23,6.0215,0.165,6.0,3.22,11.8,26.0
Er,1.75,30.6360683670134,167.259,44.0,3141.0,3.0,189.0,9066.0,50.0,1.24,6.1077,0.168,6.0,3.22,11.93,28.0
Tm,1.75,30.0963858478217,168.93421,45.0,2223.0,3.0,190.0,9321.0,50.0,1.25,6.18431,0.16,6.0,3.22,12.05,31.0
Yb,1.75,43.7396719385591,173.054,31.0,1469.0,3.0,187.0,6570.0,50.0,1.26,6.25416,0.155,6.0,2.58,12.176,9.9
Lu,1.75,29.5240319080689,174.9668,48.0,3675.0,3.0,187.0,9841.0,50.0,1.27,5.42586,0.154,6.0,3.22,13.9,27.0
Hf,1.55,22.2687111944408,178.49,110.0,4876.0,4.0,175.0,13310.0,0.0,1.3,6.82507,0.144,6.0,3.6,15.0,30.0
Ta,1.45,18.0467295591839,180.94788,200.0,5731.0,5.0,170.0,16650.0,31.0,1.5,7.54957,0.14,6.0,4.05,,69.0
W,1.35,15.8587344239951,183.84,310.0,5828.0,6.0,162.0,19250.0,78.6,2.36,7.86403,0.132,6.0,4.8,16.1,161.0
Re,1.35,14.7103342296135,186.207,370.0,5869.0,7.0,151.0,21020.0,14.5,1.9,7.83352,0.137,6.0,5.2,,178.0
Os,1.3,13.98369766809,190.23,,5285.0,8.0,144.0,22590.0,106.1,2.2,8.43823,0.13,6.0,5.4,,222.0
Ir,1.35,14.1485504686127,192.217,320.0,4701.0,9.0,141.0,22560.0,151.0,2.2,8.96702,0.131,6.0,5.55,,210.0
Pt,1.35,15.3604635067342,195.084,230.0,4098.0,10.0,136.0,21090.0,205.3,2.28,8.9588,0.133,6.0,5.65,18.563,61.0
Au,1.35,16.9470636164805,196.966569,220.0,3129.0,11.0,136.0,19300.0,222.8,2.54,9.22553,0.129,6.0,5.15,20.2,27.0
Hg,1.5,24.6117420696302,200.59,25.0,629.73,12.0,132.0,13534.0,0.0,2.0,10.4375,0.14,6.0,4.2,18.7568,
Tl,1.9,28.6408765609082,204.3833,43.0,1746.0,13.0,145.0,11850.0,19.2,1.62,6.108194,0.129,6.0,3.9,20.4283,2.8
Pb,1.8,30.3414230127393,207.2,46.0,2022.0,14.0,146.0,11340.0,35.1,2.33,7.41663,0.13,6.0,4.1,15.03248,5.6
Bi,1.6,35.4834590822064,208.9804,31.0,1837.0,15.0,148.0,9780.0,91.2,2.02,7.2855,0.122,6.0,4.15,16.703,12.0
Po,1.9,37.740406388696,209.0,,1235.0,16.0,140.0,9196.0,183.3,2.0,8.414,,6.0,,,
At,,,210.0,,,17.0,150.0,,270.1,2.2,,,6.0,,,
Rn,,37887.7995482819,222.0,,211.3,18.0,150.0,9.73,0.0,,10.7485,0.094,6.0,,,
Fr,,,223.0,,,1.0,260.0,,,0.7,4.072741,,7.0,,,
Ra,2.15,75.0581202258386,226.0,,2010.0,2.0,221.0,5000.0,,0.9,5.278423,,7.0,,10.14715,
Ac,1.95,37.4330862969509,227.0,,3473.0,3.0,215.0,10070.0,,1.1,5.17,0.12,7.0,,11.75,
Th,1.8,32.86568321477,232.03806,54.0,5093.0,3.0,206.0,11724.0,,1.3,6.3067,0.118,7.0,3.3,11.9,31.0
Pa,1.8,24.9611606283359,231.03586,,4273.0,3.0,200.0,15370.0,,1.5,5.89,,7.0,,,
U,1.75,20.7488474020455,238.02891,100.0,4200.0,3.0,196.0,19050.0,,1.38,6.1941,0.116,7.0,3.9,10.6,111.0
Np,1.75,19.2448390132676,237.0,,4273.0,3.0,190.0,20450.0,,1.36,6.2657,,7.0,,,
Pu,1.75,20.4471640587929,244.0,,3503.0,3.0,187.0,19816.0,,1.28,6.026,,7.0,3.8,11.2,43.0
Am,1.75,29.5186850847065,243.0,,2284.0,3.0,180.0,13670.0,,1.3,5.9738,,7.0,,,
